appUseMode,relocateState,CPE_TYPE_MAP,OLD_STATUS_DESC (CPE_status),SN_PATTERN,REGISTER_DATE,PENALTY_PRODUCT_CODE,PENALTY,STATUS_DESC (Return status to),APIs
return,-,AIS PLAYBOX,In service,B,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,6/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,6/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,8/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,B,8/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,6/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,8/1/2019,P17099884,2500,Return,"deleteOTCListService,createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,8/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,6/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,B,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,8/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,6/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,In service,S,6/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,6/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,6/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,8/1/2019,P17099884,2500,Return,"deleteOTCListService,createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,8/1/2019,P17099884,2500,Inactive,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive,S,8/1/2019,P17099884,2500,Inactive Not Paid,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Return,B,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive not Paid,B,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Out of service,B,6/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Return,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Inactive not Paid,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Out of service,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
return,-,AIS PLAYBOX,Return,B,8/1/2019,P17099884,2500,Return,"createOrderChangeService,updateCpeInfo,addCpeAccessory (saveTransection)"
